Date	Book-Value Per Share
07/30/1984	2.44
07/30/1985	2.68
07/30/1986	2.97
07/30/1987	3.34
07/30/1988	3.66
07/30/1989	3.43
07/30/1990	3.27
07/30/1991	3.53
07/30/1992	4.02
07/30/1993	3.38
07/30/1994	3.97
07/30/1995	4.96
07/30/1996	5.51
07/30/1997	3.01
07/30/1998	1.93
07/30/1999	0.53
07/30/2000	0.32
07/30/2001	-0.60
07/30/2002	-0.28
07/30/2003	0.94
07/30/2004	2.14
07/30/2005	3.11
07/30/2006	4.35
07/30/2007	3.36
07/30/2008	3.54
07/30/2009	2.08
07/30/2010	2.73
07/30/2011	3.36
07/30/2012	2.83
07/30/2013	3.85
07/30/2014	5.11
07/30/2015	4.41
07/30/2016	4.96
07/30/2017	5.39

