Date	Earnings Per Share
07/30/1984	0.37
07/30/1985	0.38
07/30/1986	0.43
07/30/1987	0.48
07/30/1988	0.53
07/30/1989	0.03
07/30/1990	0.01
07/30/1991	0.79
07/30/1992	0.97
07/30/1993	0.02
07/30/1994	1.26
07/30/1995	1.40
07/30/1996	1.61
07/30/1997	1.51
07/30/1998	1.45
07/30/1999	1.64
07/30/2000	1.68
07/30/2001	1.57
07/30/2002	1.28
07/30/2003	1.45
07/30/2004	1.58
07/30/2005	1.73
07/30/2006	1.88
07/30/2007	2.21
07/30/2008	3.12
07/30/2009	2.09
07/30/2010	2.48
07/30/2011	2.47
07/30/2012	2.44
07/30/2013	1.46
07/30/2014	2.61
07/30/2015	2.21
07/30/2016	1.82
07/30/2017	2.91

