Date	Sales Per Share
07/30/1984	7.05
07/30/1985	7.59
07/30/1986	8.28
07/30/1987	8.63
07/30/1988	9.40
07/30/1989	10.95
07/30/1990	11.98
07/30/1991	12.21
07/30/1992	12.43
07/30/1993	13.07
07/30/1994	13.35
07/30/1995	11.81
07/30/1996	12.70
07/30/1997	14.01
07/30/1998	14.75
07/30/1999	14.57
07/30/2000	14.75
07/30/2001	13.94
07/30/2002	14.96
07/30/2003	16.25
07/30/2004	17.38
07/30/2005	18.45
07/30/2006	18.04
07/30/2007	20.38
07/30/2008	21.44
07/30/2009	21.55
07/30/2010	22.58
07/30/2011	23.68
07/30/2012	24.31
07/30/2013	25.64
07/30/2014	26.33
07/30/2015	25.90
07/30/2016	25.76
07/30/2017	25.87

