Date	Dividend TTM
12/22/2003	0.077
12/31/2003	0.09044
12/23/2004	0.26811
12/23/2005	0.32933
12/20/2006	0.52433
12/24/2007	0.649
06/25/2008	1.16633
12/23/2008	0.85733
06/23/2009	0.587
12/22/2009	0.57
12/29/2009	0.582
06/23/2010	0.597
12/21/2010	0.633
12/29/2010	0.646
06/22/2011	0.845
12/20/2011	0.808
06/21/2012	0.815
12/18/2012	0.73
12/27/2012	0.744
06/27/2013	0.769
12/18/2013	0.859
06/25/2014	0.707
12/17/2014	0.876
06/25/2015	0.836
12/21/2015	0.802
06/22/2016	0.767
12/21/2016	0.662
06/20/2017	0.588
12/19/2017	0.889
06/19/2018	0.987
12/18/2018	0.874
06/17/2019	0.895
12/16/2019	1.24
06/15/2020	1.159

