Date	Dividend TTM
08/26/1996	0.119
08/25/1997	0.131
12/23/1997	0.161
08/25/1998	0.303
12/22/1998	0.313
08/25/1999	0.469
08/24/2000	2.532
08/24/2001	0.189
12/23/2002	0.122
12/22/2003	0.201
12/23/2004	0.194
12/23/2005	0.116
12/20/2006	0.508
12/24/2007	0.518
06/25/2008	1.149
12/23/2008	1.222
06/23/2009	0.544
12/22/2009	0.558
06/23/2010	0.299
06/22/2011	0.674
06/21/2012	0.581
06/27/2013	0.435
06/25/2014	0.631
06/25/2015	0.506
06/22/2016	0.613
12/21/2016	0.622
06/20/2017	0.604
12/19/2017	0.679
06/19/2018	0.744
06/17/2019	0.738
06/15/2020	0.28

