Date	Dividend TTM
08/26/1996	0.14
12/23/1997	0.035
08/25/1998	0.699
12/22/1998	1.324
08/25/1999	0.102
08/24/2000	0.045
12/20/2000	0.085
08/24/2001	0.176
12/23/2002	0.104
12/22/2003	0.171
12/23/2004	0.087
12/23/2005	0.291
12/20/2007	0.711
06/25/2008	1.08
12/23/2008	0.789
06/23/2009	0.723
12/22/2009	0.892
06/23/2010	0.755
12/21/2010	0.248
06/22/2011	0.463
12/20/2011	0.592
06/21/2012	0.493
12/18/2012	0.352
06/27/2013	0.339
12/18/2013	0.401
06/25/2014	0.655
12/17/2014	0.596
06/25/2015	0.254
12/21/2015	0.237
06/22/2016	0.329
12/21/2016	0.329
06/20/2017	0.368
12/19/2017	0.501
06/19/2018	0.682
12/18/2018	0.742
06/17/2019	0.78
12/16/2019	0.647

