Date	Sales Per Share
05/27/1990	9.83
05/27/1991	10.84
05/27/1992	11.71
05/27/1993	12.48
05/27/1994	13.39
05/27/1995	7.95
05/27/1996	8.52
05/27/1997	8.88
05/27/1998	9.55
05/27/1999	10.21
05/27/2000	11.20
05/27/2001	12.46
05/27/2002	12.01
05/27/2003	14.24
05/27/2004	14.76
05/27/2005	15.15
05/27/2006	16.36
05/27/2007	17.93
05/27/2008	20.50
05/27/2009	22.13
05/27/2010	22.42
05/27/2011	23.14
05/27/2012	25.71
05/27/2013	27.39
05/27/2014	29.22
05/27/2015	29.43
05/27/2016	27.70
05/27/2017	27.07
05/27/2018	26.54

