Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.058953,1.110609,1.058953,1.065410,0.015895,557200
1980-03-18,1.065410,1.084781,1.058953,1.084781,0.016184,660000
1980-03-19,1.084781,1.110609,1.078324,1.091238,0.016280,1167200
1980-03-20,1.091238,1.097695,1.071867,1.097695,0.016377,785600
1980-03-21,1.084781,1.084781,1.065410,1.078324,0.016088,338400
1980-03-24,1.078324,1.097695,1.071867,1.091238,0.016280,1080000
1980-03-25,1.084781,1.084781,1.071867,1.078324,0.016088,524400
1980-03-26,1.084781,1.104152,1.084781,1.104152,0.016473,694800
1980-03-27,1.097695,1.097695,1.058953,1.078324,0.016088,967600
1980-03-28,1.078324,1.162266,1.078324,1.155809,0.017244,1322000
1980-03-31,1.155809,1.181637,1.136438,1.168723,0.017436,853600
1980-04-01,1.168723,1.207465,1.168723,1.207465,0.018014,253200
1980-04-02,1.207465,1.259121,1.188094,1.239750,0.018496,704400
1980-04-03,1.239750,1.246207,1.213922,1.233293,0.018400,1236800
1980-04-07,1.233293,1.246207,1.188094,1.233293,0.018400,2619200
1980-04-08,1.233293,1.278492,1.226836,1.272035,0.018978,1534800
1980-04-09,1.272035,1.291406,1.265578,1.284949,0.019170,423600
1980-04-10,1.284949,1.291406,1.284949,1.291406,0.019267,360000
1980-04-11,1.291406,1.291406,1.278492,1.278492,0.019074,512800
1980-04-14,1.272035,1.272035,1.226836,1.226836,0.018303,1008400
1980-04-15,1.226836,1.233293,1.207465,1.220379,0.018207,828400
1980-04-16,1.220379,1.220379,1.201008,1.213922,0.018111,506800
1980-04-17,1.207465,1.207465,1.175180,1.201008,0.017918,611600
1980-04-18,1.207465,1.213922,1.207465,1.207465,0.018014,272800
1980-04-21,1.207465,1.213922,1.207465,1.207465,0.018014,86800
1980-04-22,1.207465,1.233293,1.207465,1.226836,0.018303,2140800
1980-04-23,1.226836,1.246207,1.213922,1.213922,0.018111,1654800
1980-04-24,1.213922,1.213922,1.181637,1.181637,0.017629,2061600
1980-04-25,1.168723,1.168723,1.149352,1.155809,0.017244,536000
1980-04-28,1.155809,1.175180,1.155809,1.175180,0.017533,1380000
1980-04-29,1.175180,1.213922,1.175180,1.201008,0.017918,1146000
1980-04-30,1.201008,1.220379,1.194551,1.220379,0.018207,596000
1980-05-01,1.220379,1.239750,1.207465,1.207465,0.018014,4624800
1980-05-02,1.207465,1.220379,1.188094,1.201008,0.017918,724000
1980-05-05,1.201008,1.226836,1.201008,1.226836,0.018303,392800
1980-05-06,1.233293,1.259121,1.233293,1.252664,0.018689,4431200
1980-05-07,1.252664,1.310777,1.239750,1.291406,0.019267,4998400
1980-05-08,1.291406,1.310777,1.291406,1.291406,0.019267,634800
1980-05-09,1.297863,1.297863,1.297863,1.297863,0.019363,274800
1980-05-12,1.297863,1.310777,1.291406,1.310777,0.019556,180000
1980-05-13,1.310777,1.330148,1.310777,1.330148,0.019845,944400
1980-05-14,1.343063,1.401176,1.343063,1.388262,0.020711,1409200
1980-05-15,1.388262,1.401176,1.388262,1.401176,0.020904,332800
1980-05-16,1.407633,1.420547,1.407633,1.414090,0.021097,1144000
1980-05-19,1.414090,1.414090,1.394719,1.407633,0.021000,354000
1980-05-20,1.394719,1.394719,1.375348,1.381805,0.020615,222400
1980-05-21,1.381805,1.381805,1.355977,1.362434,0.020326,737200
1980-05-22,1.368891,1.420547,1.368891,1.414090,0.021097,1016000
1980-05-23,1.433461,1.459289,1.433461,1.439918,0.021482,1186400
1980-05-27,1.439918,1.439918,1.427004,1.433461,0.021386,1356800
1980-05-28,1.433461,1.433461,1.420547,1.427004,0.021289,505200
1980-05-29,1.427004,1.459289,1.420547,1.420547,0.021193,6173200
1980-05-30,1.420547,1.439918,1.394719,1.439918,0.021482,785600
1980-06-02,1.439918,1.459289,1.439918,1.452832,0.021675,611600
1980-06-03,1.452832,1.459289,1.433461,1.439918,0.021482,938800
1980-06-04,1.439918,1.459289,1.433461,1.439918,0.021482,990800
1980-06-05,1.439918,1.452832,1.439918,1.446375,0.021578,795600
1980-06-06,1.433461,1.433461,1.394719,1.394719,0.020808,861200
1980-06-09,1.394719,1.414090,1.394719,1.407633,0.021000,754800
1980-06-10,1.407633,1.414090,1.375348,1.381805,0.020615,766400
1980-06-11,1.381805,1.388262,1.368891,1.368891,0.020422,1573600
1980-06-12,1.368891,1.381805,1.355977,1.355977,0.020230,1091600
1980-06-13,1.355977,1.368891,1.343063,1.362434,0.020326,1058800
1980-06-16,1.362434,1.388262,1.355977,1.381805,0.020615,586400
1980-06-17,1.381805,1.420547,1.375348,1.420547,0.021193,305600
1980-06-18,1.420547,1.439918,1.420547,1.427004,0.021289,1436400
1980-06-19,1.427004,1.433461,1.407633,1.407633,0.021000,656000
1980-06-20,1.407633,1.407633,1.381805,1.381805,0.020615,362000
1980-06-23,1.381805,1.394719,1.368891,1.375348,0.020519,427600
1980-06-24,1.394719,1.439918,1.394719,1.439918,0.021482,1031600
1980-06-25,1.439918,1.452832,1.433461,1.452832,0.021675,1273600
1980-06-26,1.452832,1.459289,1.427004,1.427004,0.021289,1093600
1980-06-27,1.427004,1.433461,1.407633,1.427004,0.021289,2301600
1980-06-30,1.427004,1.427004,1.407633,1.420547,0.021193,561200
1980-07-01,1.420547,1.420547,1.401176,1.407633,0.021000,1448000
1980-07-02,1.407633,1.420547,1.401176,1.414090,0.021097,506800
1980-07-03,1.401176,1.401176,1.388262,1.401176,0.020904,729600
1980-07-07,1.401176,1.427004,1.394719,1.420547,0.021193,446800
1980-07-08,1.420547,1.439918,1.375348,1.375348,0.020519,1606400
1980-07-09,1.375348,1.407633,1.368891,1.388262,0.020711,1161200
1980-07-10,1.388262,1.388262,1.362434,1.362434,0.020326,664000
1980-07-11,1.362434,1.381805,1.362434,1.381805,0.020615,476000
1980-07-14,1.394719,1.407633,1.394719,1.394719,0.020808,917600
1980-07-15,1.394719,1.401176,1.375348,1.388262,0.020711,567200
1980-07-16,1.381805,1.381805,1.362434,1.381805,0.020615,729600
1980-07-17,1.381805,1.388262,1.355977,1.368891,0.020422,1391600
1980-07-18,1.368891,1.388262,1.362434,1.368891,0.020422,1558000
1980-07-21,1.368891,1.368891,1.330148,1.343063,0.020037,1471200
1980-07-22,1.343063,1.349519,1.336605,1.343063,0.020037,3010000
1980-07-23,1.343063,1.343063,1.330148,1.330148,0.019845,1786800
1980-07-24,1.336605,1.355977,1.336605,1.355977,0.020230,1341200
1980-07-25,1.355977,1.355977,1.343063,1.349519,0.020133,950400
1980-07-28,1.349519,1.375348,1.343063,1.375348,0.020519,6122800
1980-07-29,1.375348,1.394719,1.362434,1.394719,0.020808,3046800
1980-07-30,1.394719,1.433461,1.394719,1.427004,0.021289,1680000
1980-07-31,1.427004,1.427004,1.407633,1.420547,0.021193,664000
1980-08-01,1.420547,1.459289,1.407633,1.446375,0.021578,1819600
1980-08-04,1.459289,1.562602,1.459289,1.543230,0.023023,3008000
1980-08-05,1.543230,1.543230,1.517402,1.523859,0.022734,1976400
1980-08-06,1.517402,1.517402,1.498031,1.517402,0.022638,1856400
1980-08-07,1.517402,1.536773,1.510945,1.510945,0.022542,1399600
1980-08-08,1.510945,1.530316,1.504488,1.510945,0.022542,876800
1980-08-11,1.510945,1.543230,1.510945,1.530316,0.022831,886400
1980-08-12,1.530316,1.549688,1.530316,1.536773,0.022927,791600
1980-08-13,1.536773,1.543230,1.523859,1.543230,0.023023,590400
1980-08-14,1.543230,1.549688,1.523859,1.549688,0.023120,656000
1980-08-15,1.549688,1.581973,1.536773,1.575516,0.023505,1548400
1980-08-18,1.575516,1.575516,1.510945,1.523859,0.022734,1701600
1980-08-19,1.517402,1.517402,1.504488,1.504488,0.022445,735600
1980-08-20,1.491574,1.491574,1.472203,1.485117,0.022156,431600
1980-08-21,1.485117,1.491574,1.472203,1.485117,0.022156,1322000
1980-08-22,1.498031,1.523859,1.498031,1.504488,0.022445,1550400
1980-08-25,1.504488,1.523859,1.504488,1.517402,0.022638,1112800
1980-08-26,1.517402,1.517402,1.498031,1.498031,0.022349,373600
1980-08-27,1.498031,1.504488,1.472203,1.478660,0.022060,652000
1980-08-28,1.478660,1.478660,1.465746,1.465746,0.021867,272800
1980-08-29,1.465746,1.472203,1.433461,1.446375,0.021578,754800
1980-09-02,1.446375,1.465746,1.394719,1.459289,0.021771,1610400
1980-09-03,1.459289,1.472203,1.452832,1.472203,0.021964,971600
1980-09-04,1.472203,1.491574,1.472203,1.472203,0.021964,745200
1980-09-05,1.472203,1.472203,1.452832,1.465746,0.021867,398400
1980-09-08,1.465746,1.472203,1.452832,1.459289,0.021771,497200
1980-09-09,1.459289,1.459289,1.446375,1.459289,0.021771,992800
1980-09-10,1.459289,1.465746,1.439918,1.452832,0.021675,280400
1980-09-11,1.452832,1.459289,1.433461,1.433461,0.021386,586400
1980-09-12,1.433461,1.446375,1.433461,1.446375,0.021578,1097600
1980-09-15,1.439918,1.439918,1.414090,1.439918,0.021482,540000
1980-09-16,1.439918,1.459289,1.433461,1.446375,0.021578,1186400
1980-09-17,1.446375,1.465746,1.433461,1.446375,0.021578,1008400
1980-09-18,1.452832,1.465746,1.452832,1.459289,0.021771,1142000
1980-09-19,1.459289,1.472203,1.446375,1.452832,0.021675,803200
1980-09-22,1.459289,1.498031,1.459289,1.498031,0.022349,572800
1980-09-23,1.498031,1.510945,1.491574,1.491574,0.022253,321200
1980-09-24,1.491574,1.504488,1.478660,1.504488,0.022445,1266000
1980-09-25,1.504488,1.523859,1.491574,1.491574,0.022253,462400
1980-09-26,1.485117,1.485117,1.427004,1.433461,0.021386,501200
1980-09-29,1.407633,1.407633,1.381805,1.394719,0.020808,1393600
1980-09-30,1.401176,1.433461,1.401176,1.427004,0.021289,170000
1980-10-01,1.427004,1.439918,1.407633,1.433461,0.021386,1895200
1980-10-02,1.427004,1.427004,1.381805,1.407633,0.021000,634800
1980-10-03,1.407633,1.433461,1.388262,1.407633,0.021000,394800
1980-10-06,1.407633,1.407633,1.394719,1.401176,0.020904,905600
1980-10-07,1.401176,1.420547,1.401176,1.401176,0.020904,1204000
1980-10-08,1.401176,1.414090,1.394719,1.407633,0.021000,1469200
1980-10-09,1.407633,1.407633,1.394719,1.407633,0.021000,603600
1980-10-10,1.407633,1.414090,1.401176,1.407633,0.021000,758800
1980-10-13,1.407633,1.414090,1.401176,1.414090,0.021097,282400
1980-10-14,1.414090,1.414090,1.401176,1.401176,0.020904,495200
1980-10-15,1.401176,1.407633,1.394719,1.394719,0.020808,557200
1980-10-16,1.394719,1.407633,1.381805,1.388262,0.020711,712400
1980-10-17,1.388262,1.388262,1.368891,1.368891,0.020422,681200
1980-10-20,1.368891,1.368891,1.349519,1.349519,0.020133,1178800
1980-10-21,1.349519,1.355977,1.336605,1.343063,0.020037,429600
1980-10-22,1.343063,1.343063,1.291406,1.291406,0.019267,1596800
1980-10-23,1.297863,1.317234,1.297863,1.297863,0.019363,2295600
1980-10-24,1.297863,1.304320,1.272035,1.284949,0.019170,1647200
1980-10-27,1.284949,1.310777,1.265578,1.304320,0.019459,2392400
1980-10-28,1.297863,1.297863,1.284949,1.291406,0.019267,785600
1980-10-29,1.297863,1.317234,1.297863,1.310777,0.019556,756800
1980-10-30,1.310777,1.310777,1.297863,1.304320,0.019459,487600
1980-10-31,1.304320,1.304320,1.291406,1.304320,0.019459,510800
1980-11-03,1.304320,1.317234,1.297863,1.310777,0.019556,766400
1980-11-05,1.317234,1.381805,1.317234,1.330148,0.019845,2530000
1980-11-06,1.330148,1.330148,1.278492,1.278492,0.019074,1335600
1980-11-07,1.278492,1.284949,1.239750,1.239750,0.018496,1142000
1980-11-10,1.239750,1.265578,1.226836,1.252664,0.018689,704400
1980-11-11,1.265578,1.291406,1.265578,1.272035,0.018978,1575600
1980-11-12,1.272035,1.284949,1.259121,1.284949,0.019170,1819600
1980-11-13,1.284949,1.291406,1.265578,1.265578,0.018881,1388000
1980-11-14,1.265578,1.284949,1.265578,1.265578,0.018881,8174800
1980-11-17,1.265578,1.272035,1.246207,1.252664,0.018689,4891600
1980-11-18,1.252664,1.291406,1.246207,1.278492,0.019074,2127200
1980-11-19,1.278492,1.278492,1.252664,1.272035,0.018978,1324000
1980-11-20,1.272035,1.284949,1.213922,1.239750,0.018496,1631600
1980-11-21,1.239750,1.246207,1.220379,1.246207,0.018592,1984000
1980-11-24,1.239750,1.239750,1.207465,1.233293,0.018400,1078000
1980-11-25,1.252664,1.284949,1.252664,1.278492,0.019074,1831200
1980-11-26,1.278492,1.284949,1.265578,1.278492,0.019074,1442000
1980-11-28,1.278492,1.278492,1.259121,1.265578,0.018881,422000
1980-12-01,1.265578,1.272035,1.259121,1.259121,0.018785,398400
1980-12-02,1.259121,1.278492,1.252664,1.265578,0.018881,485600
1980-12-03,1.265578,1.272035,1.252664,1.252664,0.018689,2499200
1980-12-04,1.259121,1.278492,1.259121,1.265578,0.018881,1174800
1980-12-05,1.265578,1.278492,1.259121,1.272035,0.018978,1086000
1980-12-08,1.265578,1.265578,1.259121,1.265578,0.018881,360000
1980-12-09,1.259121,1.259121,1.239750,1.259121,0.018785,2493200
1980-12-10,1.259121,1.284949,1.259121,1.272035,0.018978,942400
1980-12-11,1.272035,1.278492,1.246207,1.246207,0.018592,1678400
1980-12-12,1.246207,1.259121,1.246207,1.252664,0.018689,1060800
1980-12-15,1.252664,1.252664,1.239750,1.252664,0.018689,1105200
1980-12-16,1.252664,1.259121,1.233293,1.239750,0.018496,1690000
1980-12-17,1.246207,1.265578,1.246207,1.259121,0.018785,1968400
1980-12-18,1.272035,1.343063,1.272035,1.330148,0.019845,1174800
1980-12-19,1.330148,1.349519,1.310777,1.336605,0.019941,553600
1980-12-22,1.336605,1.381805,1.330148,1.368891,0.020422,412000
1980-12-23,1.388262,1.414090,1.388262,1.407633,0.021000,640400
1980-12-24,1.407633,1.407633,1.394719,1.407633,0.021000,437200
1980-12-26,1.401176,1.401176,1.388262,1.401176,0.020904,63600
1980-12-29,1.401176,1.407633,1.375348,1.388262,0.020711,648400
1980-12-30,1.388262,1.401176,1.375348,1.388262,0.020711,543600
1980-12-31,1.388262,1.394719,1.349519,1.394719,0.020808,1225200
1981-01-02,1.394719,1.401176,1.388262,1.401176,0.020904,234000
1981-01-05,1.394719,1.394719,1.381805,1.388262,0.020711,2009200
1981-01-06,1.394719,1.517402,1.394719,1.485117,0.022156,1492400
1981-01-07,1.485117,1.517402,1.433461,1.510945,0.022542,3012000
1981-01-08,1.510945,1.543230,1.504488,1.517402,0.022638,884400
1981-01-09,1.517402,1.530316,1.504488,1.517402,0.022638,1202000
