Date	Sales Per Share
12/31/1990	19.52
12/31/1991	20.24
12/31/1992	21.60
12/31/1993	23.57
12/31/1994	26.12
12/31/1995	28.60
12/31/1996	31.43
12/31/1997	33.36
12/31/1998	36.74
12/31/1999	44.59
12/31/2000	47.83
12/31/2001	47.25
12/31/2002	47.19
12/31/2003	48.56
12/31/2004	51.69
12/31/2005	55.90
12/31/2006	60.80
12/31/2007	63.78
12/31/2008	67.58
12/31/2009	62.86
12/31/2010	70.94
12/31/2011	78.85
12/31/2012	83.42
12/31/2013	90.24
12/31/2014	99.37
12/31/2015	100.20
12/31/2016	102.40
12/31/2017	110.42

