Date	Book-Value Per Share
12/31/1983	1.59
12/31/1984	1.76
12/31/1985	1.94
12/31/1986	2.02
12/31/1987	2.31
12/31/1988	2.79
12/31/1989	3.10
12/31/1990	3.45
12/31/1991	3.70
12/31/1992	4.06
12/31/1993	4.03
12/31/1994	4.15
12/31/1995	3.50
12/31/1996	3.80
12/31/1997	2.98
12/31/1998	3.64
12/31/1999	3.97
12/31/2000	4.31
12/31/2001	4.23
12/31/2002	5.11
12/31/2003	4.94
12/31/2004	4.61
12/31/2005	4.22
12/31/2006	2.97
12/31/2007	2.75
12/31/2008	1.54
12/31/2009	3.33
12/31/2010	4.17
12/31/2011	3.91
12/31/2012	4.68
12/31/2013	7.22
12/31/2014	6.88
12/31/2015	4.83
12/31/2016	3.90
12/31/2017	4.42

