Date	Earnings Per Share
12/31/1983	0.27
12/31/1984	0.29
12/31/1985	0.30
12/31/1986	0.37
12/31/1987	0.41
12/31/1988	0.59
12/31/1989	0.47
12/31/1990	0.60
12/31/1991	0.61
12/31/1992	0.67
12/31/1993	0.55
12/31/1994	0.53
12/31/1995	0.91
12/31/1996	0.89
12/31/1997	1.18
12/31/1998	1.19
12/31/1999	1.66
12/31/2000	1.23
12/31/2001	0.76
12/31/2002	1.51
12/31/2003	1.77
12/31/2004	2.33
12/31/2005	2.03
12/31/2006	2.43
12/31/2007	0.94
12/31/2008	1.37
12/31/2009	1.91
12/31/2010	2.25
12/31/2011	2.79
12/31/2012	2.95
12/31/2013	3.66
12/31/2014	3.83
12/31/2015	2.37
12/31/2016	3.39
12/31/2017	3.71

