Date	Sales Per Share
12/31/1983	3.40
12/31/1984	3.78
12/31/1985	4.06
12/31/1986	4.53
12/31/1987	5.17
12/31/1988	6.01
12/31/1989	6.71
12/31/1990	7.53
12/31/1991	8.03
12/31/1992	8.92
12/31/1993	9.95
12/31/1994	10.39
12/31/1995	11.94
12/31/1996	13.04
12/31/1997	15.05
12/31/1998	15.50
12/31/1999	12.95
12/31/2000	14.01
12/31/2001	15.25
12/31/2002	15.35
12/31/2003	16.11
12/31/2004	17.91
12/31/2005	20.04
12/31/2006	21.50
12/31/2007	21.79
12/31/2008	22.61
12/31/2009	23.24
12/31/2010	24.98
12/31/2011	27.00
12/31/2012	29.69
12/31/2013	31.92
12/31/2014	33.58
12/31/2015	34.07
12/31/2016	35.04
12/31/2017	35.63

