Date	Earnings Per Share
12/31/1983	0.15
12/31/1984	0.16
12/31/1985	0.20
12/31/1986	0.11
12/31/1987	0.28
12/31/1988	0.33
12/31/1989	0.38
12/31/1990	0.40
12/31/1991	0.51
12/31/1992	0.36
12/31/1993	0.63
12/31/1994	0.70
12/31/1995	0.86
12/31/1996	1.01
12/31/1997	1.05
12/31/1998	1.04
12/31/1999	1.43
12/31/2000	1.65
12/31/2001	1.87
12/31/2002	2.20
12/31/2003	2.42
12/31/2004	2.76
12/31/2005	3.38
12/31/2006	3.76
12/31/2007	3.67
12/31/2008	4.62
12/31/2009	4.44
12/31/2010	4.85
12/31/2011	3.54
12/31/2012	3.82
12/31/2013	4.92
12/31/2014	5.80
12/31/2015	5.58
12/31/2016	6.10
12/31/2017	0.48

