Year	Sales Per Share
12/31/1983	1.82
12/31/1984	1.90
12/31/1985	2.04
12/31/1986	2.28
12/31/1987	2.70
12/31/1988	3.07
12/31/1989	3.41
12/31/1990	3.92
12/31/1991	4.35
12/31/1992	4.85
12/31/1993	4.93
12/31/1994	5.53
12/31/1995	6.57
12/31/1996	7.28
12/31/1997	7.63
12/31/1998	8.01
12/31/1999	9.19
12/31/2000	9.74
12/31/2001	10.65
12/31/2002	12.11
12/31/2003	14.10
12/31/2004	15.95
12/31/2005	16.99
12/31/2006	18.16
12/31/2007	21.19
12/31/2008	22.74
12/31/2009	22.43
12/31/2010	22.39
12/31/2011	23.77
12/31/2012	24.42
12/31/2013	25.39
12/31/2014	26.41
12/31/2015	25.40
12/31/2016	26.50
12/31/2017	28.49

