Date	Book-Value Per Share
12/31/1989	3.3483606557
12/31/1990	3.9378881988
12/31/1991	4.4813278008
12/31/1992	4.0690376569
12/31/1993	3.6997840173
12/31/1994	4.0267260579
12/31/1995	3.6324200913
12/31/1996	3.0164705882
12/31/1997	2.4106280193
12/31/1998	2.181372549
12/31/1999	2.0074074074
12/31/2000	2.2118226601
12/31/2001	2.1477832512
12/31/2002	2.193627451
12/31/2003	3.5367647059
12/31/2004	5.4781553398
12/31/2005	5.5436893204
12/31/2006	5.2115869018
12/31/2007	6.3787878788
12/31/2008	3.7905759162
12/31/2009	5.9476439791
12/31/2010	5.7207446809
12/31/2011	4.9613259669
12/31/2012	6.7150837989
12/31/2013	9.7658402204
12/31/2014	7.7905027933
12/31/2015	6.08
12/31/2016	5.4444444444
12/31/2017	6.3930635838

