Date	Sales Per Share
12/31/1989	9.5327868852
12/31/1990	10.7267080745
12/31/1991	12.0062240664
12/31/1992	12.9518828452
12/31/1993	13.596112311
12/31/1994	14.6146993318
12/31/1995	15.9908675799
12/31/1996	15.7105882353
12/31/1997	16.4975845411
12/31/1998	16.5735294118
12/31/1999	15.2024691358
12/31/2000	14.9926108374
12/31/2001	18.5911330049
12/31/2002	20.3529411765
12/31/2003	21.5980392157
12/31/2004	23.3349514563
12/31/2005	24.7014563107
12/31/2006	27.4735516373
12/31/2007	29.7373737374
12/31/2008	33.5654450262
12/31/2009	32.9188481675
12/31/2010	32.9707446809
12/31/2011	36.4585635359
12/31/2012	39.656424581
12/31/2013	40.7493112948
12/31/2014	40.7262569832
12/31/2015	38.6428571429
12/31/2016	37.0769230769
12/31/2017	37.3497109827

