Date	Dividend TTM
10/16/1962	2.34E-02
01/15/1963	2.38E-02
04/16/1963	2.42E-02
07/16/1963	2.46E-02
10/15/1963	2.50E-02
01/21/1964	2.56E-02
04/21/1964	2.62E-02
07/21/1964	2.68E-02
10/20/1964	2.74E-02
01/19/1965	2.78E-02
04/20/1965	2.81E-02
07/20/1965	2.85E-02
10/19/1965	2.89E-02
01/18/1966	2.95E-02
04/19/1966	3.01E-02
07/19/1966	3.07E-02
10/18/1966	3.12E-02
01/17/1967	3.20E-02
04/18/1967	3.28E-02
07/18/1967	3.36E-02
10/17/1967	3.44E-02
01/16/1968	3.52E-02
04/15/1968	3.59E-02
07/15/1968	3.67E-02
10/14/1968	3.75E-02
01/20/1969	3.83E-02
04/14/1969	3.91E-02
07/14/1969	3.99E-02
10/20/1969	4.06E-02
01/19/1970	4.06E-02
04/20/1970	4.14E-02
05/19/1970	3.13E-02
07/20/1970	3.20E-02
10/19/1970	3.28E-02
01/18/1971	3.28E-02
04/19/1971	4.38E-02
07/19/1971	4.45E-02
10/18/1971	4.53E-02
01/17/1972	4.61E-02
04/17/1972	4.69E-02
07/17/1972	4.74E-02
10/16/1972	4.78E-02
01/15/1973	4.83E-02
04/13/1973	4.88E-02
07/16/1973	5.06E-02
10/15/1973	5.25E-02
01/14/1974	5.44E-02
04/15/1974	5.62E-02
07/15/1974	5.62E-02
10/11/1974	5.62E-02
01/20/1975	5.78E-02
04/14/1975	5.94E-02
07/14/1975	6.10E-02
10/20/1975	6.25E-02
01/19/1976	6.25E-02
04/19/1976	6.41E-02
07/19/1976	6.56E-02
10/18/1976	6.72E-02
01/17/1977	7.19E-02
04/18/1977	7.50E-02
07/18/1977	7.81E-02
10/17/1977	8.12E-02
01/16/1978	8.12E-02
04/17/1978	8.44E-02
07/17/1978	8.75E-02
10/16/1978	9.06E-02
01/15/1979	9.38E-02
04/16/1979	9.69E-02
07/16/1979	1.00E-01
10/15/1979	1.03E-01
01/14/1980	1.06E-01
04/14/1980	1.06E-01
07/14/1980	1.09E-01
10/20/1980	1.13E-01
01/19/1981	1.16E-01
04/20/1981	1.19E-01
07/20/1981	1.19E-01
10/19/1981	1.22E-01
01/18/1982	1.25E-01
04/19/1982	1.28E-01
07/19/1982	1.31E-01
10/18/1982	1.31E-01
01/17/1983	1.17E-01
04/18/1983	1.22E-01
07/18/1983	1.27E-01
10/17/1983	1.31E-01
01/16/1984	1.50E-01
04/13/1984	1.50E-01
07/16/1984	1.53E-01
10/15/1984	1.56E-01
01/14/1985	1.59E-01
04/15/1985	1.63E-01
07/15/1985	1.63E-01
10/11/1985	1.63E-01
01/17/1986	7.73E-01
04/14/1986	1.41E+00
07/14/1986	2.04E+00
10/20/1986	2.68E+00
01/16/1987	2.70E+00
04/20/1987	2.70E+00
07/20/1987	2.70E+00
10/19/1987	2.70E+00
01/15/1988	2.73E+00
04/18/1988	2.75E+00
07/18/1988	2.78E+00
10/17/1988	2.80E+00
01/13/1989	2.90E+00
04/17/1989	3.00E+00
07/17/1989	3.10E+00
