Date	Dividend
01/16/1962	5.86E-03
04/16/1962	5.86E-03
07/17/1962	5.86E-03
10/16/1962	5.86E-03
01/15/1963	6.25E-03
04/16/1963	6.25E-03
07/16/1963	6.25E-03
10/15/1963	6.25E-03
01/21/1964	6.84E-03
04/21/1964	6.84E-03
07/21/1964	6.84E-03
10/20/1964	6.84E-03
01/19/1965	7.23E-03
04/20/1965	7.23E-03
07/20/1965	7.23E-03
10/19/1965	7.23E-03
01/18/1966	7.81E-03
04/19/1966	7.81E-03
07/19/1966	7.81E-03
10/18/1966	7.81E-03
01/17/1967	8.59E-03
04/18/1967	8.59E-03
07/18/1967	8.59E-03
10/17/1967	8.59E-03
01/16/1968	9.38E-03
04/15/1968	9.38E-03
07/15/1968	9.38E-03
10/14/1968	9.38E-03
01/20/1969	1.02E-02
04/14/1969	1.02E-02
07/14/1969	1.02E-02
10/20/1969	1.02E-02
01/19/1970	1.02E-02
04/20/1970	1.09E-02
05/19/1970	0.00E+00
07/20/1970	1.09E-02
10/19/1970	1.09E-02
01/18/1971	1.09E-02
04/19/1971	1.09E-02
07/19/1971	1.17E-02
10/18/1971	1.17E-02
01/17/1972	1.17E-02
04/17/1972	1.17E-02
07/17/1972	1.22E-02
10/16/1972	1.22E-02
01/15/1973	1.22E-02
04/13/1973	1.22E-02
07/16/1973	1.41E-02
10/15/1973	1.41E-02
01/14/1974	1.41E-02
04/15/1974	1.41E-02
07/15/1974	1.41E-02
10/11/1974	1.41E-02
01/20/1975	1.56E-02
04/14/1975	1.56E-02
07/14/1975	1.56E-02
10/20/1975	1.56E-02
01/19/1976	1.56E-02
04/19/1976	1.72E-02
07/19/1976	1.72E-02
10/18/1976	1.72E-02
01/17/1977	2.03E-02
04/18/1977	2.03E-02
07/18/1977	2.03E-02
10/17/1977	2.03E-02
01/16/1978	2.03E-02
04/17/1978	2.34E-02
07/17/1978	2.34E-02
10/16/1978	2.34E-02
01/15/1979	2.34E-02
04/16/1979	2.66E-02
07/16/1979	2.66E-02
10/15/1979	2.66E-02
01/14/1980	2.66E-02
04/14/1980	2.66E-02
07/14/1980	2.97E-02
10/20/1980	2.97E-02
01/19/1981	2.97E-02
04/20/1981	2.97E-02
07/20/1981	2.97E-02
10/19/1981	3.28E-02
01/18/1982	3.28E-02
04/19/1982	3.28E-02
07/19/1982	3.28E-02
10/18/1982	3.28E-02
01/17/1983	1.88E-02
04/18/1983	3.75E-02
07/18/1983	3.75E-02
10/17/1983	3.75E-02
01/16/1984	3.75E-02
04/13/1984	3.75E-02
07/16/1984	4.06E-02
10/15/1984	4.06E-02
01/14/1985	4.06E-02
04/15/1985	4.06E-02
07/15/1985	4.06E-02
10/11/1985	4.06E-02
01/17/1986	6.51E-01
04/14/1986	6.75E-01
07/14/1986	6.75E-01
10/20/1986	6.75E-01
01/16/1987	6.75E-01
04/20/1987	6.75E-01
07/20/1987	6.75E-01
10/19/1987	6.75E-01
01/15/1988	7.01E-01
04/18/1988	7.01E-01
07/18/1988	7.01E-01
10/17/1988	7.01E-01
01/13/1989	8.00E-01
04/17/1989	8.00E-01
07/17/1989	8.00E-01
10/16/1989	9.01E-01
01/12/1990	4.50E-01
04/16/1990	4.50E-01
07/16/1990	4.50E-01
10/15/1990	5.00E-01
01/14/1991	5.00E-01
04/15/1991	5.00E-01
07/15/1991	5.00E-01
10/11/1991	5.00E-01
01/17/1992	5.00E-01
04/20/1992	5.50E-01
07/20/1992	2.75E-01
10/19/1992	2.75E-01
01/15/1993	2.75E-01
04/19/1993	2.75E-01
07/19/1993	3.10E-01
10/18/1993	3.10E-01
01/14/1994	3.10E-01
04/18/1994	3.10E-01
07/18/1994	3.50E-01
10/17/1994	3.50E-01
01/13/1995	3.50E-01
04/17/1995	3.50E-01
07/19/1995	4.00E-01
10/18/1995	4.00E-01
01/17/1996	4.00E-01
04/17/1996	4.00E-01
07/17/1996	4.50E-01
10/16/1996	4.50E-01
01/22/1997	4.50E-01
04/16/1997	4.50E-01
07/16/1997	5.05E-01
10/22/1997	2.53E-01
01/21/1998	2.53E-01
04/22/1998	2.53E-01
07/22/1998	2.85E-01
10/21/1998	2.85E-01
01/20/1999	2.85E-01
04/21/1999	2.85E-01
07/21/1999	3.20E-01
10/20/1999	3.20E-01
01/19/2000	3.20E-01
04/18/2000	3.20E-01
07/19/2000	3.50E-01
10/18/2000	3.50E-01
01/17/2001	3.50E-01
04/18/2001	3.50E-01
07/18/2001	3.80E-01
10/17/2001	3.80E-01
01/16/2002	3.80E-01
04/17/2002	3.80E-01
06/03/2002	3.45E-01
07/17/2002	4.10E-01
10/16/2002	4.10E-01
01/22/2003	4.10E-01
04/15/2003	4.10E-01
07/16/2003	4.55E-01
10/22/2003	4.55E-01
01/21/2004	4.55E-01
04/21/2004	5.00E-01
07/21/2004	2.50E-01
10/20/2004	2.50E-01
01/19/2005	2.50E-01
04/20/2005	2.80E-01
07/20/2005	2.80E-01
10/19/2005	2.80E-01
01/18/2006	2.80E-01
04/19/2006	3.10E-01
07/19/2006	3.10E-01
10/18/2006	3.10E-01
01/17/2007	3.10E-01
04/25/2007	3.50E-01
07/18/2007	3.50E-01
10/17/2007	3.50E-01
01/16/2008	3.50E-01
04/16/2008	4.00E-01
07/16/2008	4.00E-01
10/22/2008	4.00E-01
01/21/2009	4.00E-01
04/22/2009	4.40E-01
07/22/2009	4.40E-01
10/21/2009	4.40E-01
01/20/2010	4.40E-01
04/28/2010	4.82E-01
07/21/2010	4.82E-01
10/20/2010	4.82E-01
01/19/2011	4.82E-01
04/27/2011	5.25E-01
07/20/2011	5.25E-01
10/19/2011	5.25E-01
01/18/2012	5.25E-01
04/25/2012	5.62E-01
07/18/2012	5.62E-01
10/17/2012	5.62E-01
01/16/2013	5.62E-01
04/24/2013	6.02E-01
07/17/2013	6.02E-01
10/16/2013	6.02E-01
01/22/2014	6.02E-01
04/23/2014	6.44E-01
07/16/2014	6.44E-01
10/22/2014	6.44E-01
01/21/2015	6.44E-01
04/23/2015	6.63E-01
07/22/2015	6.63E-01
10/21/2015	6.63E-01
01/20/2016	6.63E-01
04/14/2016	6.70E-01
07/20/2016	6.70E-01
10/19/2016	6.70E-01
01/18/2017	6.70E-01
04/19/2017	6.90E-01
07/19/2017	6.90E-01
10/19/2017	6.90E-01
01/18/2018	6.90E-01
04/19/2018	7.17E-01
07/19/2018	7.17E-01
10/18/2018	7.17E-01
01/17/2019	7.17E-01
04/17/2019	7.46E-01
07/18/2019	7.46E-01
10/17/2019	7.46E-01
01/23/2020	7.46E-01
04/23/2020	7.91E-01
07/23/2020	7.91E-01

