Date	Dividend TTM
12/24/2003	0.014
12/17/2004	0.379
06/17/2005	0.414
12/16/2005	0.136
03/17/2006	0.165
06/16/2006	0.156
09/15/2006	0.179
12/15/2006	0.132
03/16/2007	0.13
06/15/2007	0.141
09/21/2007	0.144
12/21/2007	0.143
03/20/2008	0.149
06/20/2008	0.146
09/19/2008	0.148
12/19/2008	0.138
03/20/2009	0.154
06/19/2009	0.164
09/18/2009	0.177
12/18/2009	0.207
03/19/2010	0.209
06/18/2010	0.254
06/25/2010	0.343
09/17/2010	0.414
12/17/2010	0.398
03/18/2011	0.475
06/17/2011	0.418
09/16/2011	0.41
12/16/2011	0.463
12/27/2011	0.435
03/16/2012	0.427
06/15/2012	0.466
09/21/2012	0.505
12/21/2012	0.823
03/15/2013	0.869
06/21/2013	0.95
09/20/2013	0.988
12/20/2013	0.893
02/27/2014	1.107
03/21/2014	1.313
06/20/2014	1.338
09/19/2014	1.338
12/19/2014	1.453
03/20/2015	1.122
06/19/2015	1.127
09/18/2015	1.149
12/18/2015	1.104
03/18/2016	1.174
06/17/2016	1.207
09/16/2016	1.241
12/16/2016	1.254
03/17/2017	1.21
06/16/2017	1.301
09/18/2017	1.326
12/18/2017	1.3
03/19/2018	1.303
06/18/2018	1.303
09/24/2018	1.314
12/24/2018	1.406
03/18/2019	1.453
06/24/2019	1.491
09/23/2019	1.545
12/23/2019	1.582
03/23/2020	1.621
06/22/2020	1.629

