Date	Book-Value Per Share
12/29/2017	826.52
09/30/2017	817.82
06/30/2017	798.64
03/31/2017	785.18
12/31/2016	768.99
09/30/2016	779.61
06/30/2016	765.12
03/31/2016	752.77
12/31/2015	740.29
09/30/2015	744.68
06/30/2015	735.90
03/31/2015	729.29
12/31/2014	726.96
09/30/2014	736.78
06/30/2014	733.84
03/31/2014	717.81
12/31/2013	715.84
09/30/2013	693.22
06/28/2013	679.15
03/28/2013	679.09
12/31/2012	666.97
09/30/2012	661.93
06/30/2012	639.45
03/31/2012	633.04
12/31/2011	613.14
09/30/2011	613.18
06/30/2011	613.08
03/31/2011	594.05
12/31/2010	579.14
09/30/2010	567.95
06/30/2010	541.6
03/31/2010	530.95
12/31/2009	513.57
09/30/2009	498.43
06/30/2009	487.69
03/31/2009	449.43
12/31/2008	451.37
09/30/2008	514.6
06/30/2008	530.7
03/31/2008	530.94
12/31/2007	529.59
09/30/2007	524
06/30/2007	516.91
03/31/2007	508.99
12/31/2006	504.39
09/30/2006	491.96
06/30/2006	474.91
03/31/2006	468.63
12/31/2005	453.06
09/30/2005	441.77
06/30/2005	436.9
03/31/2005	426.79
12/31/2004	414.75
09/30/2004	402.52
06/30/2004	386.23
03/31/2004	376.47
12/31/2003	367.17
09/30/2003	351.89
06/30/2003	346.32
03/31/2003	328.72
12/31/2002	321.72
09/30/2002	334.92
06/30/2002	329.52
03/31/2002	332.74
12/31/2001	338.37
09/30/2001	339.4
06/30/2001	345.87
03/31/2001	347.25
12/31/2000	325.8
09/30/2000	319.6
06/30/2000	312.94
03/31/2000	295.94
12/31/1999	290.68
09/30/1999	280.78
06/30/1999	276.41
03/31/1999	271.69
12/31/1998	266.4
09/30/1998	262.82
06/30/1998	257.28
03/31/1998	252.53
12/31/1997	249.52
09/30/1997	246.5
06/30/1997	241.09
03/31/1997	235.83
12/31/1996	237.08
09/30/1996	225.96
06/30/1996	221.31
03/31/1996	216.24
12/31/1995	216.51
09/30/1995	210.3
06/30/1995	205.28
03/31/1995	200.11
12/31/1994	193.06
09/30/1994	188.07
06/30/1994	182.03
03/31/1994	179.69
12/31/1993	180.88
09/30/1993	177.26
06/30/1993	174.79
03/31/1993	174.34
12/31/1992	149.74
12/31/1991	158.85
12/31/1990	153.01
12/31/1989	147.26
12/31/1988	141.32
12/31/1987	134.07
12/31/1986	126.82
12/31/1985	125.2
12/31/1984	122.47
12/31/1983	116.93
12/31/1982	112.46
12/31/1981	109.43
12/31/1980	102.48
12/31/1979	94.27
12/31/1978	85.35
12/31/1977	79.07

