Date	Sales Per Share
03/31/2020	1408.74
12/31/2019	1415.01
09/30/2019	1392.48
06/28/2019	1378.74
03/29/2019	1361.47
12/31/2018	1343.00
09/28/2018	1325.89
06/29/2018	1292.84
03/29/2018	1259.18
12/29/2017	1231.57
09/30/2017	1203.10
06/30/2017	1185.81
03/31/2017	1169.42
12/31/2016	1150.68
09/30/2016	1138.43
06/30/2016	1131.21
03/31/2016	1127.97
12/31/2015	1127.13
09/30/2015	1136.16
06/30/2015	1145.54
03/31/2015	1156.54
12/31/2014	1163.32
09/30/2014	1154.86
06/30/2014	1141.19
03/31/2014	1126.00
12/31/2013	1116.81
09/30/2013	1115.38
06/28/2013	1104.96
03/28/2013	1095.81
12/31/2012	1092.37
09/28/2012	1076.99
06/29/2012	1073.99
03/30/2012	1069.27
12/30/2011	1052.83
09/30/2011	1032.93
06/30/2011	1007.77
03/31/2011	981.21
12/31/2010	962.71
09/30/2010	945.99
06/30/2010	932.49
03/31/2010	918.98
12/31/2009	908.40
09/30/2009	902.59
06/30/2009	943.25
03/30/2009	998.54
12/31/2008	1042.46
09/30/2008	1080.41
06/30/2008	1071.22
03/31/2008	1048.32
12/31/2007	1025.08
09/30/2007	1005.12
06/30/2007	986.11
03/31/2007	965.19
12/31/2006	952.51
09/30/2006	936.83
06/30/2006	917.93
03/31/2006	898.02
12/31/2005	874.32
09/30/2005	851.94
06/30/2005	828.10
03/31/2005	806.94
12/31/2004	788.17
09/30/2004	756.88
06/30/2004	739.42
03/31/2004	726.93
12/31/2003	710.81
09/30/2003	697.90
06/30/2003	684.42
03/31/2003	678.60
12/31/2002	674.59
09/30/2002	697.75
06/30/2002	710.31
03/31/2002	718.01
12/31/2001	736.88
09/30/2001	738.81
06/30/2001	748.23
03/31/2001	751.27
12/31/2000	745.70
12/31/1999	671.86
12/31/1998	623.59
12/31/1997	621.17
12/31/1996	590.39
12/31/1995	561.03
12/31/1994	515.14
12/31/1993	501.50
12/31/1992	501.79
12/31/1991	501.13
12/31/1990	509.51
12/31/1989	469.77
12/31/1988	426.74

