Date	Dividend
01/31/1992	0.08
02/29/1992	0.08
03/31/1992	0.08
04/30/1992	0.08
05/31/1992	0.08
06/30/1992	0.08
07/31/1992	0.09
08/31/1992	0.09
09/30/1992	0.09
10/31/1992	0.08
11/30/1992	0.08
12/31/1992	0.08
01/31/1993	0.08
02/28/1993	0.08
03/31/1993	0.08
04/30/1993	0.08
05/31/1993	0.08
06/30/1993	0.08
07/31/1993	0.08
08/31/1993	0.08
09/30/1993	0.08
10/31/1993	0.08
11/30/1993	0.08
12/31/1993	0.08
01/31/1994	0.09
02/28/1994	0.09
03/31/1994	0.09
04/30/1994	0.09
05/31/1994	0.09
06/30/1994	0.09
07/31/1994	0.1
08/31/1994	0.1
09/30/1994	0.1
10/31/1994	0.09
11/30/1994	0.09
12/31/1994	0.09
01/31/1995	0.09
02/28/1995	0.09
03/31/1995	0.09
04/30/1995	0.09
05/31/1995	0.09
06/30/1995	0.09
07/31/1995	0.1
08/31/1995	0.1
09/30/1995	0.1
10/31/1995	0.1
11/30/1995	0.1
12/31/1995	0.1
01/31/1996	0.1
02/29/1996	0.1
03/31/1996	0.1
04/30/1996	0.11
05/31/1996	0.11
06/30/1996	0.11
07/31/1996	0.11
08/31/1996	0.11
09/30/1996	0.11
10/31/1996	0.11
11/30/1996	0.12
12/31/1996	0.11
01/31/1997	0.1
02/28/1997	0.11
03/31/1997	0.12
04/30/1997	0.09
05/31/1997	0.13
06/30/1997	0.12
07/31/1997	0.08
08/31/1997	0.13
09/30/1997	0.12
10/31/1997	0.09
11/30/1997	0.13
12/31/1997	0.14
01/31/1998	0.086
02/28/1998	0.128
03/31/1998	0.129
04/30/1998	0.091
05/31/1998	0.134
06/30/1998	0.128
07/31/1998	0.101
08/31/1998	0.124
09/30/1998	0.121
10/31/1998	0.1
11/30/1998	0.136
12/31/1998	0.125
01/31/1999	0.084
02/28/1999	0.145
03/31/1999	0.125
04/30/1999	0.088
05/31/1999	0.148
06/30/1999	0.123
07/31/1999	0.082
08/31/1999	0.145
09/30/1999	0.114
10/31/1999	0.086
11/30/1999	0.134
12/31/1999	0.117
01/31/2000	0.082
02/29/2000	0.137
03/31/2000	0.117
04/30/2000	0.087
05/31/2000	0.145
06/30/2000	0.13
07/31/2000	0.09
08/31/2000	0.143
09/30/2000	0.116
10/31/2000	0.104
11/30/2000	0.157
12/31/2000	0.144
01/31/2001	0.109
02/28/2001	0.159
03/31/2001	0.144
04/30/2001	0.112
05/31/2001	0.164
06/30/2001	0.128
07/31/2001	0.103
08/31/2001	0.175
09/30/2001	0.122
