Date	Dividend TTM
12/27/2005	1.38
12/22/2006	1.809
12/24/2007	2.356
12/24/2008	2.901
12/24/2009	1.912
12/22/2010	2.306
12/21/2011	1.908
09/24/2012	1.078
12/20/2012	1.469
03/22/2013	1.707
06/24/2013	2.657
09/23/2013	1.783
12/20/2013	1.629
03/25/2014	2.269
06/24/2014	2.303
09/24/2014	2.367
12/22/2014	2.421
03/25/2015	1.859
06/26/2015	1.754
09/25/2015	1.711
12/21/2015	1.622
03/15/2016	1.578
06/14/2016	1.623
09/13/2016	1.663
12/20/2016	1.687
03/22/2017	1.692
06/21/2017	1.545
09/20/2017	1.511
12/19/2017	1.599
03/26/2018	1.6
06/22/2018	1.933
09/26/2018	1.924
12/24/2018	1.921
03/25/2019	1.949
06/17/2019	1.799
09/24/2019	1.899
12/23/2019	1.919
03/23/2020	1.859
06/22/2020	1.246

