Date,Open,High,Low,Close,Adj Close,Volume
2005-03-10,50.900002,51.200001,50.750000,50.900002,29.966200,67500
2005-03-11,51.099998,51.250000,50.900002,50.900002,29.966200,25200
2005-03-14,50.750000,50.849998,50.650002,50.849998,29.936756,26600
2005-03-15,50.950001,50.950001,50.700001,50.700001,29.848450,34900
2005-03-16,50.900002,50.900002,50.500000,50.500000,29.730705,9700
2005-03-17,50.500000,50.599998,50.450001,50.500000,29.730705,12500
2005-03-18,50.419998,50.419998,50.200001,50.200001,29.554085,9700
2005-03-21,50.049999,50.049999,49.599998,49.849998,29.348032,20100
2005-03-22,49.779999,50.000000,49.200001,49.380001,29.071331,25100
2005-03-23,48.799999,49.049999,48.799999,49.049999,28.877052,7300
2005-03-24,49.049999,49.430000,49.049999,49.250000,28.994799,18300
2005-03-28,49.000000,49.250000,49.000000,49.150002,28.935928,121100
2005-03-29,49.150002,49.250000,49.049999,49.150002,28.935928,3000
2005-03-30,48.950001,49.480000,48.950001,49.480000,29.130201,12700
2005-03-31,49.549999,49.549999,49.200001,49.250000,28.994799,12600
2005-04-01,49.599998,49.650002,48.810001,48.900002,28.788748,54600
2005-04-04,48.700001,49.049999,48.500000,49.049999,28.877052,6800
2005-04-05,49.200001,49.270000,49.070000,49.119999,28.918259,18600
2005-04-06,49.360001,49.560001,49.099998,49.509998,29.147865,87600
2005-04-07,49.680000,49.950001,49.599998,49.700001,29.259722,58500
2005-04-08,49.650002,49.900002,49.500000,49.650002,29.230291,79800
2005-04-11,50.000000,50.200001,49.750000,50.180000,29.542313,59200
2005-04-12,49.639999,50.189999,49.500000,50.189999,29.548203,21400
2005-04-13,49.750000,49.900002,49.349998,49.349998,29.053661,123200
2005-04-14,49.389999,49.400002,49.000000,49.000000,28.847612,61600
2005-04-15,49.049999,49.299999,48.500000,48.680000,28.659216,61600
2005-04-18,48.450001,48.689999,48.450001,48.689999,28.665113,15300
2005-04-19,48.900002,49.150002,48.900002,49.150002,28.935928,20900
2005-04-20,48.740002,48.900002,48.439999,48.450001,28.523815,13700
2005-04-21,49.990002,49.990002,48.720001,49.150002,28.935928,15100
2005-04-22,49.150002,49.200001,48.750000,48.750000,28.700422,60600
2005-04-25,49.029999,49.139999,48.750000,49.139999,28.930037,5800
2005-04-26,48.799999,48.900002,48.650002,48.650002,28.641552,22400
2005-04-27,48.200001,48.439999,48.099998,48.400002,28.494379,6800
2005-04-28,48.000000,48.000000,47.680000,47.680000,28.070490,8900
2005-04-29,48.200001,48.200001,47.889999,48.189999,28.370741,12600
2005-05-02,48.189999,48.250000,48.049999,48.200001,28.376635,23700
2005-05-03,48.349998,48.599998,48.310001,48.500000,28.553251,156700
2005-05-04,48.740002,49.290001,48.730000,49.290001,29.018349,63900
2005-05-05,49.320000,49.340000,49.000000,49.090000,28.900606,88900
2005-05-06,49.000000,49.090000,48.720001,48.720001,28.682777,6500
2005-05-09,48.849998,49.099998,48.750000,49.099998,28.906479,52700
2005-05-10,48.580002,48.700001,48.250000,48.250000,28.406071,7100
2005-05-11,48.450001,48.580002,48.450001,48.580002,28.600351,21600
2005-05-12,48.450001,48.459999,47.860001,48.000000,28.258883,35700
2005-05-13,47.950001,48.000000,47.720001,47.840000,28.164688,8600
2005-05-16,47.750000,48.139999,47.700001,47.980000,28.247110,3100
2005-05-17,47.889999,48.189999,47.880001,48.189999,28.370741,10400
2005-05-18,48.340000,48.900002,48.340000,48.900002,28.788748,31100
2005-05-19,48.650002,48.840000,48.650002,48.840000,28.753420,3100
2005-05-20,48.549999,48.779999,48.369999,48.700001,28.670990,15600
2005-05-23,48.799999,49.099998,48.619999,49.099998,28.906479,24100
2005-05-24,48.860001,48.880001,48.500000,48.750000,28.700422,86800
2005-05-25,48.790001,48.799999,48.599998,48.750000,28.700422,29800
2005-05-26,48.849998,48.900002,48.849998,48.900002,28.788748,5300
2005-05-27,48.849998,49.000000,48.700001,49.000000,28.847612,9900
2005-05-31,48.580002,48.599998,48.320000,48.320000,28.447281,42800
2005-06-01,48.340000,48.700001,48.340000,48.500000,28.553251,270700
2005-06-02,48.650002,48.919998,48.500000,48.919998,28.800518,11400
2005-06-03,48.650002,48.799999,48.349998,48.500000,28.553251,11900
2005-06-06,48.549999,48.799999,48.419998,48.799999,28.729877,8200
2005-06-07,48.849998,49.200001,48.799999,48.950001,28.818178,57700
2005-06-08,49.150002,49.250000,48.750000,48.849998,28.759304,18800
2005-06-09,48.700001,49.200001,48.669998,49.060001,28.882938,45800
2005-06-10,49.049999,49.049999,48.400002,48.849998,28.759304,73400
2005-06-13,48.549999,48.799999,48.360001,48.689999,28.665113,21200
2005-06-14,48.700001,48.840000,48.529999,48.549999,28.582689,22100
2005-06-15,48.700001,48.900002,48.610001,48.900002,28.788748,9500
2005-06-16,48.910000,48.990002,48.900002,48.990002,28.841726,7300
2005-06-17,49.599998,49.980000,49.400002,49.799999,29.318592,57300
2005-06-20,49.349998,49.419998,49.150002,49.419998,29.094875,51400
2005-06-21,49.250000,49.549999,49.160000,49.549999,29.171421,21600
2005-06-22,49.540001,49.540001,49.400002,49.480000,29.130201,12300
2005-06-23,49.349998,49.500000,48.799999,48.799999,28.729877,20800
2005-06-24,49.099998,49.110001,48.910000,49.000000,28.847612,10500
2005-06-27,48.900002,48.900002,48.720001,48.900002,28.788748,13000
2005-06-28,48.660000,49.130001,48.660000,49.130001,28.924154,3900
2005-06-29,49.020000,49.250000,48.900002,49.099998,28.906479,19200
2005-06-30,48.950001,49.099998,48.840000,48.970001,28.829956,70000
2005-07-01,49.099998,49.150002,48.790001,49.000000,28.847612,35400
2005-07-05,48.500000,48.799999,48.500000,48.799999,28.729877,60100
2005-07-06,49.299999,49.299999,48.750000,48.980000,28.835844,108400
2005-07-07,48.000000,48.689999,48.000000,48.689999,28.665113,27100
2005-07-08,48.740002,49.200001,48.740002,49.200001,28.965359,18400
2005-07-11,49.439999,49.790001,49.250000,49.520000,29.153761,13100
2005-07-12,49.770000,50.459999,49.750000,50.459999,29.707170,15400
2005-07-13,51.000000,51.000000,49.830002,50.060001,29.471670,8100
2005-07-14,50.299999,50.299999,49.400002,50.150002,29.524647,9600
2005-07-15,49.900002,50.070000,49.669998,50.070000,29.477556,16500
2005-07-18,50.020000,50.020000,49.669998,49.669998,29.242052,9700
2005-07-19,49.840000,50.070000,49.549999,50.070000,29.477556,10800
2005-07-20,49.919998,50.380001,49.509998,50.360001,29.648289,22700
2005-07-21,50.189999,50.500000,50.189999,50.470001,29.713039,43900
2005-07-22,50.250000,50.400002,49.910000,50.099998,29.495218,7200
2005-07-25,50.000000,50.200001,49.900002,50.099998,29.495218,16700
2005-07-26,50.099998,50.150002,50.009998,50.080002,29.483448,8300
2005-07-27,50.400002,50.520000,50.209999,50.520000,29.742476,14400
2005-07-28,50.490002,51.009998,50.490002,51.009998,30.030960,10100
2005-07-29,51.049999,51.049999,50.320000,50.320000,29.624727,43600
