Date	Book-Value Per Share
01/31/1972	0.0034830729
01/31/1973	0.0074519231
01/31/1974	0.0092247596
01/31/1975	0.0105235541
01/31/1976	0.0137593284
01/31/1977	0.0184972426
01/31/1978	0.0252988674
01/31/1979	0.0329832368
01/31/1980	0.0426841887
01/31/1981	0.0599845201
01/31/1982	0.078125
01/31/1983	0.1138059701
01/31/1984	0.1647321429
01/31/1985	0.2198660714
01/31/1986	0.284252669
01/31/1987	0.3745567376
01/31/1988	0.4993362832
01/31/1989	0.6643109541
01/31/1990	0.8758833922
01/31/1991	1.1850706714
01/31/1992	1.5302101576
01/31/1993	1.9057876414
01/31/1994	2.3386254893
01/31/1995	2.7701349586
01/31/1996	3.2176188399
01/31/1997	3.7512035011
01/31/1998	4.1282909415
01/31/1999	4.7464028777
01/31/2000	5.7962755217
01/31/2001	7.0118568233
01/31/2002	7.8827756569
01/31/2003	8.9503981797
01/31/2004	10.1189979123
01/31/2005	11.6665092111
01/31/2006	12.7661464586
01/31/2007	14.9051077221
01/31/2008	16.2617669268
01/31/2009	16.552611465
01/31/2010	18.6127839408
01/31/2011	19.4943117179
01/31/2012	20.8645406671
01/31/2013	23.0365117683
01/31/2014	23.5864522116
01/31/2015	26.6388716677
01/31/2016	26.5938295165
01/31/2017	25.6505110452

