Date	Dividend TTM
06/23/1975	3.20E-04
09/08/1975	2.80E-04
12/05/1975	2.60E-04
03/16/1976	2.80E-04
06/21/1976	3.00E-04
09/03/1976	3.20E-04
12/08/1976	3.40E-04
03/21/1977	3.60E-04
06/20/1977	4.60E-04
09/02/1977	5.60E-04
11/23/1977	6.40E-04
03/17/1978	7.50E-04
06/19/1978	7.80E-04
09/01/1978	8.10E-04
12/08/1978	8.40E-04
03/19/1979	9.20E-04
06/25/1979	1.00E-03
08/31/1979	1.08E-03
12/10/1979	1.16E-03
03/28/1980	1.26E-03
06/16/1980	1.36E-03
08/29/1980	1.46E-03
12/23/1980	1.95E-03
03/24/1981	2.07E-03
06/16/1981	2.19E-03
08/31/1981	2.31E-03
10/05/1981	4.97E-03
03/23/1982	5.16E-03
06/15/1982	5.35E-03
08/30/1982	5.54E-03
12/07/1982	2.80E-03
03/18/1983	3.19E-03
06/14/1983	3.58E-03
08/29/1983	3.97E-03
12/06/1983	4.36E-03
03/19/1984	4.90E-03
06/15/1984	5.44E-03
08/28/1984	5.98E-03
12/07/1984	5.93E-02
03/18/1985	1.28E-01
06/17/1985	1.97E-01
08/27/1985	2.66E-01
12/06/1985	2.46E-01
03/18/1986	2.19E-01
06/16/1986	1.92E-01
08/26/1986	1.65E-01
12/05/1986	1.73E-01
03/17/1987	1.90E-01
06/15/1987	2.08E-01
08/27/1987	1.95E-01
12/07/1987	1.82E-01
03/17/1988	1.62E-01
06/13/1988	1.41E-01
08/29/1988	1.50E-01
12/05/1988	1.60E-01
03/17/1989	1.75E-01
06/12/1989	1.90E-01
08/28/1989	2.06E-01
12/05/1989	2.21E-01
03/19/1990	2.36E-01
06/11/1990	2.51E-01
08/27/1990	2.31E-01
12/04/1990	2.11E-01
03/18/1991	1.84E-01
06/11/1991	1.56E-01
08/26/1991	1.64E-01
12/05/1991	1.71E-01
03/17/1992	1.81E-01
06/09/1992	1.91E-01
09/01/1992	2.01E-01
12/04/1992	2.11E-01
03/17/1993	1.91E-01
06/08/1993	1.71E-01
08/31/1993	1.51E-01
11/26/1993	1.30E-01
03/15/1994	1.40E-01
06/07/1994	1.50E-01
08/30/1994	1.60E-01
11/29/1994	1.71E-01
03/15/1995	1.78E-01
06/08/1995	1.86E-01
08/31/1995	1.93E-01
11/29/1995	2.00E-01
03/15/1996	2.03E-01
06/13/1996	2.06E-01
08/29/1996	2.09E-01
12/11/1996	2.12E-01
03/17/1997	2.27E-01
06/18/1997	2.41E-01
09/17/1997	2.56E-01
12/17/1997	2.70E-01
03/18/1998	2.80E-01
06/17/1998	2.90E-01
09/16/1998	3.00E-01
12/09/1998	3.10E-01
03/17/1999	3.33E-01
06/16/1999	3.05E-01
09/15/1999	2.78E-01
12/15/1999	2.50E-01
03/15/2000	2.10E-01
06/14/2000	2.20E-01
09/13/2000	2.30E-01
12/20/2000	2.40E-01
03/21/2001	2.50E-01
06/20/2001	2.60E-01
09/19/2001	2.70E-01
12/19/2001	2.80E-01
03/20/2002	2.85E-01
06/19/2002	2.90E-01
09/18/2002	2.95E-01
12/18/2002	3.00E-01
03/19/2003	3.15E-01
06/18/2003	3.30E-01
10/02/2003	3.45E-01
12/17/2003	3.60E-01
03/17/2004	4.00E-01
05/19/2004	4.40E-01
08/18/2004	4.80E-01
12/15/2004	5.20E-01
03/16/2005	5.40E-01
05/18/2005	5.60E-01
08/17/2005	5.80E-01
12/14/2005	6.00E-01
03/15/2006	6.18E-01
05/17/2006	6.35E-01
08/16/2006	6.53E-01
12/13/2006	6.70E-01
03/14/2007	7.23E-01
05/16/2007	7.75E-01
08/15/2007	8.28E-01
12/12/2007	8.80E-01
03/12/2008	8.98E-01
05/14/2008	9.15E-01
08/13/2008	9.33E-01
12/11/2008	9.50E-01
03/11/2009	9.85E-01
05/13/2009	1.02E+00
08/12/2009	1.06E+00
12/09/2009	1.09E+00
03/10/2010	1.12E+00
05/12/2010	1.15E+00
08/11/2010	1.18E+00
12/08/2010	1.21E+00
03/09/2011	1.27E+00
05/11/2011	1.34E+00
08/10/2011	1.40E+00
12/07/2011	1.46E+00
03/08/2012	1.49E+00
05/09/2012	1.53E+00
08/08/2012	1.56E+00
12/05/2012	1.59E+00
03/08/2013	1.66E+00
05/08/2013	1.74E+00
08/07/2013	1.81E+00
12/04/2013	1.88E+00
03/07/2014	1.89E+00
05/07/2014	1.90E+00
08/06/2014	1.91E+00
12/03/2014	1.92E+00
03/11/2015	1.93E+00
05/06/2015	1.94E+00
08/05/2015	1.95E+00
12/02/2015	1.96E+00
03/09/2016	1.97E+00
05/11/2016	1.98E+00
08/10/2016	1.99E+00
12/07/2016	2.00E+00
03/08/2017	2.01E+00
05/10/2017	2.02E+00
08/09/2017	2.03E+00
12/06/2017	2.04E+00
12/07/2017	2.04E+00
03/08/2018	2.05E+00
05/10/2018	2.06E+00
08/09/2018	2.07E+00
12/06/2018	2.08E+00
03/14/2019	2.09E+00
05/09/2019	2.10E+00
08/08/2019	2.11E+00
12/05/2019	2.12E+00
03/19/2020	2.13E+00
05/07/2020	2.14E+00
08/13/2020	2.15E+00

