Date	Dividend
03/13/1974	1.00E-04
09/10/1974	1.00E-04
03/11/1975	6.00E-05
06/23/1975	6.00E-05
09/08/1975	6.00E-05
12/05/1975	8.00E-05
03/16/1976	8.00E-05
06/21/1976	8.00E-05
09/03/1976	8.00E-05
12/08/1976	1.00E-04
03/21/1977	1.00E-04
06/20/1977	1.80E-04
09/02/1977	1.80E-04
11/23/1977	1.80E-04
03/17/1978	2.10E-04
06/19/1978	2.10E-04
09/01/1978	2.10E-04
12/08/1978	2.10E-04
03/19/1979	2.90E-04
06/25/1979	2.90E-04
08/31/1979	2.90E-04
12/10/1979	2.90E-04
03/28/1980	3.90E-04
06/16/1980	3.90E-04
08/29/1980	3.90E-04
12/23/1980	7.80E-04
03/24/1981	5.10E-04
06/16/1981	5.10E-04
08/31/1981	5.10E-04
10/05/1981	3.44E-03
03/23/1982	7.00E-04
06/15/1982	7.00E-04
08/30/1982	7.00E-04
12/07/1982	7.00E-04
03/18/1983	1.09E-03
06/14/1983	1.09E-03
08/29/1983	1.09E-03
12/06/1983	1.09E-03
03/19/1984	1.63E-03
06/15/1984	1.63E-03
08/28/1984	1.63E-03
12/07/1984	5.44E-02
03/18/1985	7.04E-02
06/17/1985	7.04E-02
08/27/1985	7.04E-02
12/06/1985	3.52E-02
03/18/1986	4.32E-02
06/16/1986	4.32E-02
08/26/1986	4.32E-02
12/05/1986	4.32E-02
03/17/1987	6.08E-02
06/15/1987	6.08E-02
08/27/1987	3.04E-02
12/07/1987	3.04E-02
03/17/1988	4.00E-02
06/13/1988	4.00E-02
08/29/1988	4.00E-02
12/05/1988	4.00E-02
03/17/1989	5.52E-02
06/12/1989	5.52E-02
08/28/1989	5.52E-02
12/05/1989	5.52E-02
03/19/1990	7.04E-02
06/11/1990	7.04E-02
08/27/1990	3.52E-02
12/04/1990	3.52E-02
03/18/1991	4.28E-02
06/11/1991	4.28E-02
08/26/1991	4.28E-02
12/05/1991	4.28E-02
03/17/1992	5.28E-02
06/09/1992	5.28E-02
09/01/1992	5.28E-02
12/04/1992	5.28E-02
03/17/1993	3.26E-02
06/08/1993	3.26E-02
08/31/1993	3.26E-02
11/26/1993	3.26E-02
03/15/1994	4.26E-02
06/07/1994	4.26E-02
08/30/1994	4.26E-02
11/29/1994	4.30E-02
03/15/1995	5.00E-02
06/08/1995	5.00E-02
08/31/1995	5.00E-02
11/29/1995	5.00E-02
03/15/1996	5.30E-02
06/13/1996	5.30E-02
08/29/1996	5.30E-02
12/11/1996	5.30E-02
03/17/1997	6.76E-02
06/18/1997	6.76E-02
09/17/1997	6.76E-02
12/17/1997	6.76E-02
03/18/1998	7.76E-02
06/17/1998	7.76E-02
09/16/1998	7.76E-02
12/09/1998	7.76E-02
03/17/1999	1.00E-01
06/16/1999	5.00E-02
09/15/1999	5.00E-02
12/15/1999	5.00E-02
03/15/2000	6.00E-02
06/14/2000	6.00E-02
09/13/2000	6.00E-02
12/20/2000	6.00E-02
03/21/2001	7.00E-02
06/20/2001	7.00E-02
09/19/2001	7.00E-02
12/19/2001	7.00E-02
03/20/2002	7.50E-02
06/19/2002	7.50E-02
09/18/2002	7.50E-02
12/18/2002	7.50E-02
03/19/2003	9.00E-02
06/18/2003	9.00E-02
10/02/2003	9.00E-02
12/17/2003	9.00E-02
03/17/2004	1.30E-01
05/19/2004	1.30E-01
08/18/2004	1.30E-01
12/15/2004	1.30E-01
03/16/2005	1.50E-01
05/18/2005	1.50E-01
08/17/2005	1.50E-01
12/14/2005	1.50E-01
03/15/2006	1.68E-01
05/17/2006	1.68E-01
08/16/2006	1.68E-01
12/13/2006	1.68E-01
03/14/2007	2.20E-01
05/16/2007	2.20E-01
08/15/2007	2.20E-01
12/12/2007	2.20E-01
03/12/2008	2.38E-01
05/14/2008	2.38E-01
08/13/2008	2.38E-01
12/11/2008	2.38E-01
03/11/2009	2.73E-01
05/13/2009	2.73E-01
08/12/2009	2.73E-01
12/09/2009	2.73E-01
03/10/2010	3.03E-01
05/12/2010	3.03E-01
08/11/2010	3.03E-01
12/08/2010	3.03E-01
03/09/2011	3.65E-01
05/11/2011	3.65E-01
08/10/2011	3.65E-01
12/07/2011	3.65E-01
03/08/2012	3.98E-01
05/09/2012	3.98E-01
08/08/2012	3.98E-01
12/05/2012	3.98E-01
03/08/2013	4.70E-01
05/08/2013	4.70E-01
08/07/2013	4.70E-01
12/04/2013	4.70E-01
03/07/2014	4.80E-01
05/07/2014	4.80E-01
08/06/2014	4.80E-01
12/03/2014	4.80E-01
03/11/2015	4.90E-01
05/06/2015	4.90E-01
08/05/2015	4.90E-01
12/02/2015	4.90E-01
03/09/2016	5.00E-01
05/11/2016	5.00E-01
08/10/2016	5.00E-01
12/07/2016	5.00E-01
03/08/2017	5.10E-01
05/10/2017	5.10E-01
08/09/2017	5.10E-01
12/06/2017	5.10E-01
12/07/2017	5.10E-01
03/08/2018	5.20E-01
05/10/2018	5.20E-01
08/09/2018	5.20E-01
12/06/2018	5.20E-01
03/14/2019	5.30E-01
05/09/2019	5.30E-01
08/08/2019	5.30E-01
12/05/2019	5.30E-01
03/19/2020	5.40E-01
05/07/2020	5.40E-01
08/13/2020	5.40E-01

