Date	Earnings Per Share
01/31/1972	9.44E-04
01/31/1973	1.38E-03
01/31/1974	1.86E-03
01/31/1975	1.87E-03
01/31/1976	3.24E-03
01/31/1977	4.60E-03
01/31/1978	5.56E-03
01/31/1979	7.61E-03
01/31/1980	1.07E-02
01/31/1981	1.35E-02
01/31/1982	2.00E-02
01/31/1983	2.89E-02
01/31/1984	4.38E-02
01/31/1985	6.05E-02
01/31/1986	7.27E-02
01/31/1987	0.10
01/31/1988	0.14
01/31/1989	0.18
01/31/1990	0.24
01/31/1991	0.29
01/31/1992	0.35
01/31/1993	0.43
01/31/1994	0.51
01/31/1995	0.58
01/31/1996	0.60
01/31/1997	0.67
01/31/1998	0.79
01/31/1999	1.00
01/31/2000	1.21
01/31/2001	1.41
01/31/2002	1.48
01/31/2003	1.81
01/31/2004	2.10
01/31/2005	2.42
01/31/2006	2.70
01/31/2007	2.73
01/31/2008	3.20
01/31/2009	3.41
01/31/2010	3.79
01/31/2011	4.66
01/31/2012	4.59
01/31/2013	5.13
01/31/2014	4.92
01/31/2015	5.02
01/31/2016	4.67
01/31/2017	4.50

