Date	Sales Per Share
01/31/1972	0.025390625
01/31/1973	0.0375600962
01/31/1974	0.0504807692
01/31/1975	0.0687966418
01/31/1976	0.0992012593
01/31/1977	0.1375229779
01/31/1978	0.1778785654
01/31/1979	0.2329004553
01/31/1980	0.3228476821
01/31/1981	0.3973974458
01/31/1982	0.5895543981
01/31/1983	0.7873134328
01/31/1984	1.0417410714
01/31/1985	1.4287946429
01/31/1986	1.8796708185
01/31/1987	2.6394060284
01/31/1988	3.5307522124
01/31/1989	4.5602915194
01/31/1990	5.7003091873
01/31/1991	7.2000883392
01/31/1992	9.6074868651
01/31/1993	12.0720191471
01/31/1994	14.7857764245
01/31/1995	18.1567261646
01/31/1996	20.6657217619
01/31/1997	23.2336980306
01/31/1998	26.6173583222
01/31/1999	31.2967625899
01/31/2000	37.4262957146
01/31/2001	43.2427293065
01/31/2002	46.2211991916
01/31/2003	52.6910125142
01/31/2004	60.0048712596
01/31/2005	67.1492678318
01/31/2006	74.9342136855
01/31/2007	84.3984507383
01/31/2008	94.8963000252
01/31/2009	103.0252229299
01/31/2010	107.8219756999
01/31/2011	119.9798065984
01/31/2012	130.763604447
01/31/2013	141.5697042849
01/31/2014	147.3226105784
01/31/2015	150.5427774334
01/31/2016	153.3492366412
01/31/2017	160.1955159908

